Query,Method,Rank,Similarity Score (%),Text,Psalm Num,Verse,Scored,Score
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",SBERT,2,10.62,Psalter,65,"Shout with jubilation unto the Lord, all the earth. Sing praises unto His name, give glory in His praise. Say unto God, How terrible are Thy works! In the greatness of Thy power shall Thine enemies be found liars unto Thee. Let all the earth worship Thee, and sing praises unto Thee; let them sing praises unto Thy name, O Thou Most High. Come and see the works of God, how terrible He is in His counsels over the sons of men. He turneth the sea into dry land; they shall go through the river on foot; there shall we be glad in Him, Which ruleth by His power for ever. His eyes behold the nations; let not them that embitter Him be exalted in themselves. O bless our God, ye nations, and make the voice of His praise to be heard, Which holdeth my soul in life, and suffereth not my feet to be moved. For Thou, O God, hast proved us, and hast tried us by fire, as silver is tried. Thou broughtest us into the snare, Thou laidst afflictions upon our back. Thou didst set men over our heads; we went through fire and water; but Thou broughtest us out into refreshment. I will go into Thy house with an whole burnt offering; I will pay Thee my vows, which my lips have uttered, and my mouth hath spoken, when I was in trouble. I will offer unto Thee whole burnt offerings, full of marrow, with the incense of rams; I will offer unto Thee oxen with goats. Come and hear, all ye that fear God, and I will declare what He hath done for my soul. I cried unto Him with my mouth, and extolled Him with my tongue. If I have regarded unrighteousness in my heart, let not the Lord hear me. Wherefore God hath heard me; He hath attended to the voice of my prayer. Blessed be God, Which hath not turned away my prayer, nor His mercy from me.",False,2
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",TF-IDF,2,13.35013370815751,Psalter,85,"Bow down Thine ear, O Lord, and hear me, for I am poor and needy. Preserve my soul, for I am holy; O Thou my God, save Thy servant that hopeth in Thee. Be merciful unto me, O Lord; for unto Thee will I cry all the day long. Rejoice the soul of Thy servant, for unto Thee have I lifted up my soul. For Thou, Lord, art good and gentle, and plenteous in mercy unto all them that call upon Thee. Give ear, O Lord, unto my prayer, and attend to the voice of my supplication. In the day of my trouble I cried to Thee, for Thou hast heard me. Among the gods there is none like unto Thee, O Lord; neither are there any works like unto Thy works. All the nations whom Thou hast made shall come and worship before Thee, O Lord, and shall glorify Thy name. For Thou art great, and doest wondrous things, Thou art God alone. Guide me in Thy way, O Lord, and I will walk in Thy truth; let my heart rejoice that I may fear Thy name. I will praise Thee, O Lord my God, with all my heart, and I will glorify Thy name for evermore. For great is Thy mercy toward me, and Thou hast delivered my soul from the lowest Hades. O God, the transgressors are risen up against me, and the assembly of the mighty hath sought after my soul, and have not set Thee before them. But Thou, O Lord my God, art full of compassion, and merciful, longsuffering, and plenteous in mercy, and true. O look Thou upon me, and have mercy upon me; give Thy strength unto Thy servant, and save the son of Thine handmaid. Work in me a sign unto good, and let them which hate me see and be ashamed; for Thou, O Lord, hast holpen me, and comforted me.",False,1
For the Peace of the world,TF-IDF + GloVe,4,13.11,Bible,119,An ode of ascents To the Lord in my affliction I cried out and He heard me O Lord deliver my soul from unjust lips And from a deceitful tongue What should be given You and what added to You Against a deceitful tongue The arrows of the Mighty One are sharpened With hot coals from the desert Woe is me My sojourning was prolonged I dwelt with the tents of Kedar My soul sojourned a long time as a resident alien With those who hate peace I was peaceful When I spoke to them they made war against me without cause,False,4
For the Peace of the world,BERT,4,52.83,Psalter,53,"Save me, O God, by Thy name, and judge me by Thy strength. Hear my prayer, O God; give ear to the words of my mouth. For strangers are risen up against me, and the mighty have sought after my soul; and they have not set God before them. For behold, God helpeth me, and the Lord is the protector of my soul. He shall bring evils upon my enemies; cut them off in Thy truth. I will freely sacrifice unto Thee; I will praise Thy name, O Lord, for it is good. For Thou hast delivered me out of every trouble, and mine eye hath looked down upon mine enemies.",False,3
For the Peace of the world,SBERT,4,5.88,Bible,136,By David By the rivers of Babylon There we sat and wept When we remembered Zion Upon the willows in her midst We hung up our musical instruments For there our captors asked us for words from our songs And those who carried us off said to us Sing us the songs of Zion How shall we sing the Lords song In a foreign land If I forget you O Jerusalem May my right hand be forgotten May my tongue be glued to my throat If Idonot remember you If I do not prefer Jerusalem In the beginning of my merriment O Lord remember the sons of Edom On that day in Jerusalem When they were saying Empty it out Empty it out Even to its foundation O wretched daughter of Babylon Blessed is he who shall deal with you As you dealt with us Blessed is he who shall get the upper hand And dash your infants against the rock,False,2
For the Peace of the world,TF-IDF,4,14.183477308107625,Bible,97,A psalm by David Sing a new song to the Lord For He did wondrous things His right hand and His holy arm Saved peoples for Him The Lord made known His salvation He revealed His righteousness in the sight of the Gentiles He remembered His mercy to Jacob And His truth to the house of Israel All the ends of the earth saw the salvation of our God Shout aloud to God all the earth Sing and greatly rejoice and sing psalms Sing to the Lord on a lyre On a lyre and with the voice of a psalm With trumpets of metal and the sound of a trumpet of horn Shout aloud before the Lord our King Let the sea be shaken and its fullness The world and those who dwell in it The rivers shall clap their hands together The mountains shall greatly rejoice For He comes to judge the earth He shall judge the world in righteousness And the peoples with uprightness,False,1
prayer,TF-IDF + GloVe,3,13.46,Bible,56,1For the End corrupt not by David for a pillar inscription when he escaped from the face  of Saul to the cave Have mercy on me O God have mercy on me For my soul trusts in You And in the shadow of Your wings I will hope Until lawlessness shall pass away I will cry out to God most High My God whois my benefactor He sent from heaven and saved me He gave over to disgrace those who trample me down Pause God sent out His mercy and His truth And delivered my soul from the midst of young lions Although troubled I fell asleep As for the sons of men their teeth are a weapon and arrows And their tongue is a sharp dagger Be exalted O God above the heavens And Your glory above all the earth They prepared a trap for my feet And they bowed down my soul They dug a pit before my face But they fell into it Pause My heart is ready O God My heart is ready I will sing and I will sing a psalm Awake my glory Awake harp and lyre I will arise at dawn I will give thanks to You O Lord among the peoples I will sing to You among the Gentiles For Your mercy is magnified to the heavens And Your truth to the clouds Be exalted O God above the heavens And Your glory above all the earth,False,4
prayer,BERT,3,39.39,Psalter,42,"Judge me, God, and give judgment in my cause against a nation that is not holy; deliver me from an unjust and deceitful man. For Thou, O God, art my strength: why hast Thou cast me off, and why go I mourning while mine enemy oppresseth me? O send out Thy light and Thy truth; they have led me, and brought me unto Thy holy mount, and to Thy tabernacles. And I will go unto the altar of God, unto God Which giveth gladness to my youth; upon the harp will I praise Thee, O God, my God. Why art thou cast down, O my soul, and why dost thou disquiet me? Hope thou in God, for I shall praise Him, the salvation of my countenance, and my God.",False,3
prayer,SBERT,3,7.11,Psalter,134,"Praise ye the name of the Lord; O ye servants, praise the Lord, Ye that stand in the house of the Lord, in the courts of the house of our God. Praise the Lord, for the Lord is good; sing praises unto His name, for it is good. For the Lord hath chosen Jacob unto Himself, and Israel for His own possession. For I know that the Lord is great, and that our Lord is above all gods. Whatsoever the Lord willed, that hath He done, in heaven, and in earth, in the seas and all deep places. He bringeth up clouds from the ends of the earth; He made lightnings for the rain; He bringeth winds out of His treasuries. He smote the firstborn of Egypt, from man unto beast. He sent signs and wonders into the midst of thee, O Egypt; unto Pharaoh, and unto all his servants. He smote many nations, and slew mighty kings: Sihon, king of the Amorites, and Og, the king of Bashan; and all the kingdoms of Canaan. And gave their lands for an heritage, an heritage unto Israel His people. Thy name, O Lord, endureth for ever; and Thy memorial from generation to generation. For the Lord will judge His people, and be entreated concerning His servants. The idols of the heathen are silver and gold, the work of men's hands. They have a mouth, but they speak not; eyes have they, but they see not. They have ears, but they hear not; neither is there any breath in their mouths. Let those who make them be like unto them, yea, all that trusteth in them. Bless the Lord, O house of Israel. Bless the Lord, O house of Aaron. Bless the Lord, O house of Levi. Ye that fear the Lord, bless the Lord. Blessed be the Lord out of Zion, Who dwelleth at Jerusalem.",False,2
prayer,TF-IDF,3,19.383477173092334,Bible,141,1Understanding by David when he was in the cave a prayer Icried to the Lord with my voice With my voice I prayed to the Lord I shall pour out my supplication before Him I shall declare my affliction in His presence When my spirit fainted within me Then You knew my paths For on the way Iwas going they hid a trap for me I looked on my right and saw There was no one who knew me Refuge failed me And there was no one who cared for my soul I cried to You O Lord I said You are my hope My portion in the land of the living Attend to my supplication For I was humbled exceedingly Deliver me from my persecutors For they are stronger than I Bring my soul out of prison To give thanks to Your name O Lord The righteous shall wait for me until You reward me,False,1
"Have mercy on me, O God, have mercy on me. For my soul trusts in Thee, and in the shadow of Thy wings will I hope, until iniquity pass away.",TF-IDF + GloVe,2,13.98,Bible,122,1An ode of ascents Ilift my eyes to You Whodwell in heaven Behold as the eyes of servants look to the hands of their masters As the eyes of the maidservant look to the hands of her mistress So our eyes look to the Lord our God Until He shall have compassion on us Have mercy on us O Lord have mercy on us For we are greatly filled with contempt Our soul is greatly filled with it We are a disgrace to those who prosper And a contempt to the arrogant,False,4
"Have mercy on me, O God, have mercy on me. For my soul trusts in Thee, and in the shadow of Thy wings will I hope, until iniquity pass away.",BERT,2,86.64,Bible,70,By David of the sons of Jonadab and the first ones taken captive OGod in You I hope may I never be put to shame Deliver me in Your righteousness and set me free Incline Your ear to me and save me Be to me a God for protection And a strong place for salvation For You are my foundation and my refuge O my God deliver me from the hand of the sinner From the hand of those who transgress the law and act unjustly For You are my patience O Lord The Lord is my hope from my youth By You I have been supported from birth From my mothers womb You have been my protector My song shall be always of You Iam become as a wonder tomany And You are my strong helper Let my mouth be filled with Your praise That I may sing of Your glory And of Your magnificence all the day long Do not abandon me in the time of old age When my strength fails do not forsake me For my enemies speak against me And those who watch for my soul plot together Saying God forsook him Pursue and lay hold of him For there is no deliverer O God do not stand far off from me O my God give heed to help me Let those who falsely accuse my soul be shamed and forsaken Let those who seek evils for me be covered with shame and reproach But I will hope continually And I will add to all Your praise My mouth shall proclaim Your righteousness Your salvation all the day For I am not acquainted with learning I shall enter into the power of the Lord O Lord I shall remember Your righteousness Yours alone You taught me O God from my youth And from then until now I will proclaim Your wonders And even to old age and to my last breath O God do not abandon me Until I proclaim Your arm to every coming generation Yes Your mighty deeds and Your righteousness O God I proclaim the magnificent things You did Even to the highest heaven O God who is like You How great and evil are the afflictions You showed me And You returned and made me live And You raised me up again from the depths of the earth You multiplied Your greatness And You returned and comforted me You brought me up again from the depths of the earth Truly I will give thanks to You with the instrument of a psalm O God I will sing to You with the lyre O Holy One of Israel My lips will greatly rejoice when I sing to You So will my soul which You redeemed My tongue shall meditate on Your righteousness all the day long When those who seek evils for me are dishonored and shamed,False,3
"Have mercy on me, O God, have mercy on me. For my soul trusts in Thee, and in the shadow of Thy wings will I hope, until iniquity pass away.",SBERT,2,12.96,Psalter,34,"Judge Thou, O Lord, them that do me injustice; fight against them that fight against me. Take hold of weapon and buckler, and rise up for mine help. Draw out the sword, and stop the way against them that persecute me; say unto my soul, I am Thy salvation. Let them be ashamed and confounded that seek after my soul; let them be turned back and put to shame that devise evil against me. Let them become as chaff before the face of the wind, and let the angel of the Lord afflict them. Let their way be dark and slippery, and let the angel of the Lord pursue them. For without cause have they hid for me destruction in their snare; without cause have they reproached my soul. Let a snare come upon him unawares, and let the snare that he hath hid catch himself; and into that very snare let him fall. But my soul shall exult in the Lord; it shall delight in His salvation. All my bones shall say, Lord, O Lord, who is like unto Thee, Which deliverest the poor from the hand of them that are too strong for him, yea, the poor and needy from them that spoil him? Unjust witnesses did rise up; they charged me with things that I knew not. They rewarded me evil for good, and barrenness to my soul. But as for me, when they troubled me, I put on sackcloth, and humbled my soul with fasting; and my prayer shall return into mine own bosom. I sought to please, as though it had been my neighbour or brother; I humbled myself, as one that is mourning and sad of countenance. But they rejoiced against me, and gathered themselves together; plagues were gathered together upon me, and I knew it not. They were scattered, yet they were not pricked at the heart. They tempted me, they scoffed at me with scorn, they gnashed upon me with their teeth. Lord, when wilt Thou look upon me? Rescue my soul from their mischief, mine onlybegotten one from the lions. I will give Thee thanks in the great congregation; I will praise Thee among a mighty people. Let not them that are my enemies wrongfully rejoice over me, they that hate me without a cause, and wink with the eyes. For they spake unto me peaceably indeed, but in their anger they devised deceits. Yea, they opened their mouth wide against me; they said, Aha, aha, our eyes have seen it. This Thou hast seen, O Lord, keep not silence; O Lord, be not far from me. Arise, O Lord, and attend to my judgment, even unto my cause, my God and my Lord. Judge me, O Lord, according to Thy righteousness; let them not rejoice over me, O Lord my God. Let them not say in their hearts, Aha, aha, it is well to our soul; neither let them say, We have swallowed him up. Let them be ashamed and brought to confusion together that rejoice at my woes. Let them be clothed with shame and confusion that speak great words against me. Let them exult and be glad, that favour my righteous cause; yea, let them that desire the peace of Thy servant say continually, Let the Lord be magnified. And my tongue shall speak of Thy righteousness, and of Thy praise all the day long.",False,2
"Have mercy on me, O God, have mercy on me. For my soul trusts in Thee, and in the shadow of Thy wings will I hope, until iniquity pass away.",TF-IDF,2,21.899975593171064,Psalter,39,"I waited patiently for the Lord, and He inclined unto me, and heard my supplication. He brought me up also out of the pit of misery, and out of the miry clay, and set my feet upon a rock, and directed my goings aright. And He hath put a new song in my mouth, even a hymn unto our God. Many shall see it, and fear, and shall hope in the Lord. Blessed is the man whose hope is in the name of the Lord, and regarded not vanities and false frenzies. Many, O Lord my God, are Thy wonderful works which Thou hast done; and in Thy thoughts there is none that shall be likened to Thee. I declared and spake, They are multiplied beyond number. Sacrifice and offering Thou didst not desire, but a body hast Thou perfected for me; whole burnt offerings and sin offerings hast Thou not required. Then said I, Lo, I come; in the head of the book it is written of me, That I should do Thy will, O my God; yea, Thy law is within my heart. I have preached the good tidings of Thy righteousness in the great congregation. Lo, I will not refrain my lips, O Lord, Thou knowest. I have not hid Thy righteousness within my heart; I have declared Thy truth and Thy salvation. I have not concealed Thy mercy and Thy truth from the great congregation. But withhold not Thou Thy tender mercies from me, O Lord; let Thy mercy and Thy truth continually help me. For innumerable evils have compassed me about; mine iniquities have taken hold upon me, and I am not able to see. They are multiplied more than the hairs of my head, and my heart hath failed me. Be pleased, O Lord, to deliver me; O Lord, look to helping me. Let them be ashamed and confounded together that seek after my soul to destroy it. Let them be turned back and confounded that wish me evils. Let them speedily receive shame for their reward that say unto me, Aha, aha! Let all those that seek Thee rejoice and be glad in Thee, O Lord; and let such as love Thy salvation say continually, The Lord be magnified. But I am poor and needy; the Lord will think upon me. Thou art my help and my defender, my God; make no tarrying.",False,1
 Psalms that move from lament and despair to praise and renewed trust in God within the same psalm,TF-IDF + GloVe,2,13.98,Bible,122,1An ode of ascents Ilift my eyes to You Whodwell in heaven Behold as the eyes of servants look to the hands of their masters As the eyes of the maidservant look to the hands of her mistress So our eyes look to the Lord our God Until He shall have compassion on us Have mercy on us O Lord have mercy on us For we are greatly filled with contempt Our soul is greatly filled with it We are a disgrace to those who prosper And a contempt to the arrogant,False,4
 Psalms that move from lament and despair to praise and renewed trust in God within the same psalm,BERT,2,77.56,Psalter,49,"The God of gods, even the Lord, hath spoken, and called the earth from the rising of the sun unto the going down thereof. Out of Zion is the comeliness of His beauty. God, our God, shall come manifestly, and shall not keep silence. A fire shall burn before Him, and a mighty tempest shall be round about Him. He shall summon the heaven above, and the earth, that He may judge His people. Gather His saints together unto Him, those that have established His covenant upon sacrifices. And the heavens shall declare His righteousness; for God is judge. Hear, O My people, and I will speak to thee, O Israel; and I will testify against thee; I am God, even thy God. I will not reprove thee for sacrifices, for thy whole burntofferings are continually before Me. I will not welcome bullocks out of thy house, nor he goats out of thy flocks. For all the beasts of the field are Mine, the cattle upon the mountains, and the oxen. I know all the fowls of the air, and the beauty of the fields is Mine. If I were hungry, I would not tell thee, for the world is Mine, and the fulness thereof. Will I eat the flesh of bulls, or drink the blood of goats? Offer unto God a sacrifice of praise, and pay thy vows unto the Most High. And call upon me in the day of thy trouble, and I will deliver thee; and thou shalt glorify Me. But unto the sinner God said, Why dost thou declare My statutes, and takest My covenant in thy mouth? Thou hast hated instruction, and hast cast My words behind thee. When thou sawest a thief, then thou didst run with him, and hast been partaker with the adulterer. Thy mouth hath multiplied evil, and thy tongue hath framed deceits. Thou satest and spakest against thy brother, and laidst a scandal against thy mother's son. These things hast thou done, and I kept silence. Thou thoughtest wickedly that I should be like unto thee; but I will reprove thee, and set thy sins before thy face. Now understand this, ye that forget God, lest He snatch you away, and there be none to deliver. A sacrifice of praise shall glorify Me, and there is the way wherein I will shew him My salvation.",False,3
 Psalms that move from lament and despair to praise and renewed trust in God within the same psalm,SBERT,2,10.88,Bible,33,1By David when he changed his countenance before Abimelech who let him go and he  departed Iwill bless the Lord at all times His praise shall continually be in my mouth My soul shall be praised in the Lord Let the gentle hear and be glad Oh magnify the Lord with me And let us exalt His name together I sought the Lord and He heard me And He delivered me from all my sojourning Come to Him and be enlightened And your face shall never be ashamed This poor man cried and the Lord heard him And saved him from all his afflictions The Angel of the Lord shall encamp around those who fear Him And He will deliver them Oh taste and see that the Lord is good Blessed is the man who hopes in Him Fear the Lord you His saints For there is no want for those who fear Him Rich men turned poor and went hungry But those whoseek the Lord shall not lack any good thing Pause Come you children listen to me I will teach you the fear of the Lord Who is the man who desires life Who loves to see good days Keep your tongue from evil And your lips from speaking deceit Shun evil and do good Seek peace and pursue it The eyes of the Lord are upon the righteous And His ears are open to their supplications The Lords face is against those who do evil So as to destroy their remembrance from the earth The righteous cried and the Lord heard them And He delivered them from all their afflictions The Lord is near those who are brokenhearted And He will save the humble in spirit Many are the afflictions of the righteous But He will deliver them from them all The Lord shall guard all their bones Not one of them shall be broken The death of sinners is evil And those who hate the righteous shall go wrong The Lord will redeem the souls of His servants And all who hope in Him shall not go wrong,False,2
 Psalms that move from lament and despair to praise and renewed trust in God within the same psalm,TF-IDF,2,7.370565388139997,Psalter,112,"Praise the Lord, ye servants; praise the name of the Lord. Blessed be the name of the Lord, from this time forth and for evermore. From the rising of the sun to the going down of the same, the Lord's name is to be praised. The Lord is high above all nations; His glory is above the heavens. Who is like unto the Lord our God, Who dwelleth on high, and beholdeth the things that are lowly in heaven, and in the earth? Who raiseth up the poor from the earth, and lifteth the needy out of the dunghill, That He may set him with princes, even with the princes of His people. Who maketh the barren woman to dwell in a house, a mother rejoicing over children.",False,1
Transgression,TF-IDF + GloVe,5,12.74,Bible,11,For the End concerning the eighth a psalm by David Save me O Lord for the holy man has ceased The truthful are diminished from among the sons of men Each one speaks useless things to his neighbor Deceptive lips speak with a double heart May the Lord destroy all deceptive lips And the tongue that speaks boastful things Saying We will make our tongue powerful Our lips are our own Who is lord over us Because of the suffering of the needy And because of the groaning of the poor Now I will arise says the Lord Iwill establish them in salvation I will declare it boldly The words of the Lord are pure words Like silver fired in a furnace of earth Purified seven times You shall guard us O Lord You shall preserve us from this generation forever The ungodly walk in a circle In Your exaltation You highly exalted the sons of men,False,4
