Query,Method,Rank,Similarity Score (%),Text,Psalm Num,Verse,Scored,Letter,Score
The Lord is my shepherd,SBERT,2,96.51,Psalter,148,"Praise ye the Lord from the heavens; praise Him in the highest. Praise ye Him, all His angels; praise ye him, all His hosts. Praise ye Him, sun and moon; praise Him, all ye stars and light. Praise Him, ye heaven of heavens, and thou water that art above the heavens. Let them praise the name of the Lord; for He spake, and they were made; He commanded, and they were created. He hath established them for ever and ever; He hath made a decree, and it shall not pass away. Praise the Lord from the earth, ye dragons and all deeps. Fire, and hail, snow, and ice, stormy wind, fulfilling His word; Mountains, and all hills; fruitful trees, and all cedars; Beasts, and all cattle; creeping things, and winged fowl; Kings of the earth, and all peoples; princes, and all judges of the earth; Both young men and maidens; old men, and children; Let them praise the name of the Lord, for His name alone is exalted. His praise is above the earth and heaven, and He shall exalt the horn of His people, A hymn is meet for all His saints; even for the sons of Israel, for the people that draw near unto Him.",False,C,2
The Lord is my shepherd,TF-IDF,2,11.46,Psalter,137,"I will give Thee thanks, O Lord, with my whole heart: and before angels will I sing praise unto Thee; for Thou hast heard all the words of my mouth. I will worship toward Thy holy temple, and give thanks unto Thy name, for Thy mercy and Thy truth; for Thou hast magnified Thy holy name above all that is. In whatsoever day I shall call upon Thee, hear me speedily; Thou shalt endue my soul abundantly with Thy strength. Let all the kings of the earth give Thee thanks, O Lord, for they have heard all the words of Thy mouth. Yea, let them sing in the ways of the Lord, for great is the glory of the Lord. For the Lord is exalted, yet hath He regard unto the lowly; but the proud He knoweth from afar. Though I walk in the midst of trouble, Thou wilt revive me; Thou hast stretched forth Thine hand against the wrath of mine enemies, and Thy right hand hath saved me. The Lord shall make recompense for me; Thy mercy, O Lord, endureth for ever; despise not the work of Thy hands.",False,D,3
"Find psalms describing repentance after sin, especially where the psalmist acknowledges guilt and asks for inner spiritual cleansing",TF-IDF + GloVe,3,13.46,Bible,56,1For the End corrupt not by David for a pillar inscription when he escaped from the face  of Saul to the cave Have mercy on me O God have mercy on me For my soul trusts in You And in the shadow of Your wings I will hope Until lawlessness shall pass away I will cry out to God most High My God whois my benefactor He sent from heaven and saved me He gave over to disgrace those who trample me down Pause God sent out His mercy and His truth And delivered my soul from the midst of young lions Although troubled I fell asleep As for the sons of men their teeth are a weapon and arrows And their tongue is a sharp dagger Be exalted O God above the heavens And Your glory above all the earth They prepared a trap for my feet And they bowed down my soul They dug a pit before my face But they fell into it Pause My heart is ready O God My heart is ready I will sing and I will sing a psalm Awake my glory Awake harp and lyre I will arise at dawn I will give thanks to You O Lord among the peoples I will sing to You among the Gentiles For Your mercy is magnified to the heavens And Your truth to the clouds Be exalted O God above the heavens And Your glory above all the earth,False,A,0
"Find psalms describing repentance after sin, especially where the psalmist acknowledges guilt and asks for inner spiritual cleansing",BERT,3,72.58,Psalter,16,"Hear my right, O Lord; attend unto my supplication. Give ear unto my prayer, that goeth not out of feigned lips. Let my judgment come forth from Thy presence; let mine eyes behold the things that are equal. Thou hast proved mine heart; Thou hast visited it in the night; Thou hast tried me by fire, and unrighteousness hath not been found in me. That my mouth may not speak the works of men, for the sake of the words of Thy lips have I kept hard ways. Set Thou my goings in Thy paths, that my footsteps slip not. I have cried, for Thou hast heard me, O God; incline Thine ear unto me, and hear my words. Shew Thy marvellous mercies, O Thou that savest them which put their hope in Thee. From them that have resisted Thy right hand, keep me, O Lord, as the apple of Thine eye. Thou wilt shelter me with the covert of Thy wings, from the face of the ungodly that have troubled me. Mine enemies have compassed my soul; they are inclosed in their own fat, their mouth hath spoken proudly. They cast me forth, and now have compassed me about; they have set their eyes bowing down to the earth. They have taken me like as a lion that is ready for his prey, and as it were a young lion lurking in secret places. Arise, O Lord, prevent them, and supplant them; deliver my soul from the ungodly, Thy sword from the enemies of Thine hand. From Thy few of the earth, O Lord, do Thou separate them in their life; their belly is filled with Thy hid treasures. They have satisfied themselves with swine, and have left the rest of their substance to their babes. As for me, I shall appear before Thy face in righteousness; I shall be satisfied when Thy glory appeareth unto me.",False,B,1
"Find psalms describing repentance after sin, especially where the psalmist acknowledges guilt and asks for inner spiritual cleansing",SBERT,3,96.94,Psalter,150,"Praise God in His holy ones; praise Him in the firmament of His power. Praise Him for His mighty acts; praise Him according to the multitude of His greatness. Praise Him with the sound of the trumpet; praise Him with the psaltery and harp. Praise Him with the timbrel and dance; praise Him with the strings and pipe. Praise Him with the tuneful cymbals; praise Him with the joyful cymbals. Let everything that hath breath praise the Lord. I was the least among my brethren, and the youngest in the house of my father; I shepherded my father's sheep. My hands made an instrument, and my fingers tuned a psaltery. And who shall tell my Lord? The Lord Himself shall hear. He sent His angel, and took me from my father's sheep, and anointed me with the oil of His anointing. My brethren were comely and tall, but the Lord took not pleasure in them. I went forth to meet the Philistine, and he cursed me by his idols. But I drew his own sword, and cut off his head; and I took away the reproach from the sons of Israel. THE NINE ODES THE FIRST ODE An Ode of Moses in the Exodus. (Exodus 15: 119) When he had altogether drowned Pharaoh in the deep, Moses said, Let us sing unto the Lord, for He is gloriously glorified. Let us sing unto the Lord, for He is gloriously glorified; the horse and his rider hath He thrown into the sea. He was to me a helper and protector for salvation. He is my God, and I will glorify Him; my father's God, and I will exalt Him. The Lord breaking wars; LORD is His name. Pharaoh's chariots and his hosts hath He cast into the sea; the chosen mounted captains hath He plunged into the Red Sea. He covered them with the sea; they sank into the depths as a stone. Thy right hand, O Lord, is glorified in strength; Thy right hand, O Lord, hath dashed in pieces the enemy; and in the abundance of Thy glory hast Thou crushed the adversaries. Thou sentest forth Thy wrath; it consumed them as stubble. And through the breath of Thine anger the waters parted asunder; the waters were congealed as a wall, the waves were congealed in the midst of the sea. For 14 verses The enemy said, I will pursue, I will overtake, I will divide the spoil, I will satisfy my soul, I will destroy with my sword; my right hand shall have the dominion. Thou sentest forth Thy wind, the sea covered them; they sank as lead in the mighty water. For 12 verses Who is like unto Thee, O Lord, among the gods? Who is like Thee, glorious in holiness, marvellous in glories, doing wonders? Thou stretchedst out Thy right hand; the earth swallowed them. For 10 verses Thou in Thy righteousness hast guided this Thy people which Thou hast redeemed; Thou calledst them in Thy strength to Thy holy habitation. The nations heard, and were angry; pangs took hold upon the inhabitants of Philistia. For 8 verses Then the princes of Edom made haste, the princes also of the Moabites; trembling took hold upon them; all the inhabitants of Canaan melted away. Let fear and trembling fall upon them; by the greatness of Thine arm let them become as stone, For 6 verses Till Thy people pass over, O Lord; till they pass over, this people, which Thou hast purchased. Bring them in, and plant them in the mountain of Thine inheritance; in the place, O Lord, which Thou hast made for Thee to dwell in, in the sanctuary which Thy hands have prepared. For 4 verses The Lord reigneth for ever and ever. For the horse of Pharaoh went in with his chariots and with his horsemen into the sea, and the Lord brought again the waters of the sea upon them; but the children of Israel went on dry ground in the midst of the sea. Glory be to the Father, and to the Son, and to the Holy Spirit, both now and ever, and unto the ages of ages. Amen. THE SECOND ODE It should be noted that the Second Ode is never chanted, except only in Great Lent, during which on Tuesday only it is chanted to the end. And for each of the troparia of the Second Ode of the Canon we say, Glory to Thee, our God, glory to Thee. An Ode of Moses in the Deuteronomy. (Deut. 32: 143) After the Law had been written, again an Ode of Moses. Attend, O ye heaven, and I will speak; and let the earth hear the words of my mouth. Let my teaching be looked for as the rain, and let my words come down as the dew, as a shower upon the grass, and as the snow upon the green herb. For I have called upon the name of the Lord. Ascribe ye majesty unto our God. As for our God, His works are true, and all His ways are judgment. God is faithful, and there is no unrighteousness in Him; just and holy is the Lord. Have not children that are blameworthy sinned against Him? O perverse and crooked generation, do ye thus requite the Lord? This is a foolish people, and unwise; did not He Himself thy Father take thee for His own, and make thee, and fashion thee? Remember the days of old, consider the years of generations and generations. Ask thy father, and he will shew thee; thine elders, and they will tell thee. When the Most High divided the nations, when He scattered the sons of Adam, He set the bounds of the nations according to the number of the angels of God. And Jacob His people became the Lord's portion; Israel was the lot of His inheritance. He satisfied him in the wilderness, in burning thirst, and in a waterless land. He led him about, He instructed him, He kept him as the apple of His eye. As an eagle watcheth over his nest, and yearneth over his young, and spreading abroad his wings, receiveth them, and taketh them up upon his back; So the Lord alone did lead them, and there was no strange God with them. He brought them up on the strength of the land; He fed them with the increase of the fields. He suckled them with honey out of the rock, and oil out of the solid rock, Butter of kine, and milk of sheep, with fat of lambs and rams, of calves and kids, with the fat of kidneys of wheat; and they drank wine, the blood of the grape. So Jacob ate, and was filled; and the beloved one kicked, he waxed fat, he grew thick and broad; then he forsook God Which made him, and departed from God his Saviour. They provoked Me to anger with strange gods, and embittered Me with their abominations. They sacrificed unto demons, not to God; to gods whom they knew not; to new gods recently arisen, whom their fathers knew not. Thou hast forsaken God that begat thee, and hast forgotten God that feedeth thee.",False,C,2
"Find psalms describing repentance after sin, especially where the psalmist acknowledges guilt and asks for inner spiritual cleansing",TF-IDF,3,5.31,Bible,14,A psalm by David OLord who shall dwell in Your tabernacle Who shall live in Your holy mountain He who walks blamelessly and works righteousness And speaks truth in his heart Who does not deceive with his tongue Neither does evil to his neighbor And does not find fault with those nearest him He disdains those who do evil in his presence But he holds in honor those who fear the Lord He swears an oath to his neighbor and does not set it aside He does not lend his money at interest And he does not take a bribe against the innocent He who does these things shall never be shaken,False,D,3
Love,TF-IDF + GloVe,1,16.0,Bible,79,1For the End concerning things that shall be changed a testimony for Asaph a psalm  concerning the Assyrian Give heed O You who shepherd Israel Reveal Yourself O You who lead Joseph like a flock Who sit upon the cherubim Raise up Your power Before Ephraim Benjamin and Manasseh And come for our salvation O God convert us And reveal Your face and we shall be saved O Lord God of hosts How long will You be angry with the prayer of Your servant Will You feed us the bread of tears And will You give us as drink tears in measure You made us an offense to our neighbors And our enemies sneered at us O Lord God convert us And reveal Your face and we shall be saved Pause You removed a vineyard from Egypt You cast out the nations and planted it You prepared the way before it And You planted its roots and the earth was filled Its shade covered the mountains And its vines the cedars of God Its branches reached to the sea And its shoots as far as the river Why did You pull down its hedge And all who pass on the road gather its grapes A wild swine from the forest laid it waste A solitary wild beast devoured it O God of hosts convert us now Look down from heaven and behold And visit this vineyard Which Your right hand planted and perfect it And visit the son of man whom You strengthened for Yourself It was set on fire and uprooted But they shall perish at the rebuke of Your face Let Your hand be upon the man of Your right hand And upon the son of man whom You strengthened for Yourself Then we will not turn away from You You will give us life and we will call upon Your name O Lord God of hosts convert us and reveal Your face and we shall be saved,False,A,0
Love,BERT,1,43.8,Bible,18,For the End a psalm by David The heavens declare the glory of God The firmament shows the creation of His hands Day to day utters speech And night to night reveals knowledge There is no speech nor language Where their voices are not heard Their proclamation went forth into all the earth And their words to the ends of the world In the sun He set His tabernacle And it rejoices exceedingly Like a bridegroom coming forth from his bridal chamber Like a strong man to run a race Its rising is from one end of heaven And its circuit runs to the other end And nothing shall be hidden from its heat The law of the Lord is blameless converting souls The testimony of the Lord is trustworthy making children wise The ordinances of the Lord are right rejoicing the heart The commandment of the Lord is bright enlightening the eyes The fear of the Lord is pure enduring unto ages of ages The judgments of the Lord are true being altogether just More to be desired are they than gold and a very precious stone Sweeter also than honey and the honeycomb For indeed Your servant keeps them In keeping them there is great reward Who will understand his transgressions Cleanse me from hidden sins And spare your servant from unnatural sins If they have no dominion over me then I shall be blameless And I shall be cleansed from great sin Let the words of my mouth and the meditation of my heart Be always pleasing before You O Lord my helper and my redeemer,False,B,1
Love,SBERT,1,95.79,Psalter,150,"Praise God in His holy ones; praise Him in the firmament of His power. Praise Him for His mighty acts; praise Him according to the multitude of His greatness. Praise Him with the sound of the trumpet; praise Him with the psaltery and harp. Praise Him with the timbrel and dance; praise Him with the strings and pipe. Praise Him with the tuneful cymbals; praise Him with the joyful cymbals. Let everything that hath breath praise the Lord. I was the least among my brethren, and the youngest in the house of my father; I shepherded my father's sheep. My hands made an instrument, and my fingers tuned a psaltery. And who shall tell my Lord? The Lord Himself shall hear. He sent His angel, and took me from my father's sheep, and anointed me with the oil of His anointing. My brethren were comely and tall, but the Lord took not pleasure in them. I went forth to meet the Philistine, and he cursed me by his idols. But I drew his own sword, and cut off his head; and I took away the reproach from the sons of Israel. THE NINE ODES THE FIRST ODE An Ode of Moses in the Exodus. (Exodus 15: 119) When he had altogether drowned Pharaoh in the deep, Moses said, Let us sing unto the Lord, for He is gloriously glorified. Let us sing unto the Lord, for He is gloriously glorified; the horse and his rider hath He thrown into the sea. He was to me a helper and protector for salvation. He is my God, and I will glorify Him; my father's God, and I will exalt Him. The Lord breaking wars; LORD is His name. Pharaoh's chariots and his hosts hath He cast into the sea; the chosen mounted captains hath He plunged into the Red Sea. He covered them with the sea; they sank into the depths as a stone. Thy right hand, O Lord, is glorified in strength; Thy right hand, O Lord, hath dashed in pieces the enemy; and in the abundance of Thy glory hast Thou crushed the adversaries. Thou sentest forth Thy wrath; it consumed them as stubble. And through the breath of Thine anger the waters parted asunder; the waters were congealed as a wall, the waves were congealed in the midst of the sea. For 14 verses The enemy said, I will pursue, I will overtake, I will divide the spoil, I will satisfy my soul, I will destroy with my sword; my right hand shall have the dominion. Thou sentest forth Thy wind, the sea covered them; they sank as lead in the mighty water. For 12 verses Who is like unto Thee, O Lord, among the gods? Who is like Thee, glorious in holiness, marvellous in glories, doing wonders? Thou stretchedst out Thy right hand; the earth swallowed them. For 10 verses Thou in Thy righteousness hast guided this Thy people which Thou hast redeemed; Thou calledst them in Thy strength to Thy holy habitation. The nations heard, and were angry; pangs took hold upon the inhabitants of Philistia. For 8 verses Then the princes of Edom made haste, the princes also of the Moabites; trembling took hold upon them; all the inhabitants of Canaan melted away. Let fear and trembling fall upon them; by the greatness of Thine arm let them become as stone, For 6 verses Till Thy people pass over, O Lord; till they pass over, this people, which Thou hast purchased. Bring them in, and plant them in the mountain of Thine inheritance; in the place, O Lord, which Thou hast made for Thee to dwell in, in the sanctuary which Thy hands have prepared. For 4 verses The Lord reigneth for ever and ever. For the horse of Pharaoh went in with his chariots and with his horsemen into the sea, and the Lord brought again the waters of the sea upon them; but the children of Israel went on dry ground in the midst of the sea. Glory be to the Father, and to the Son, and to the Holy Spirit, both now and ever, and unto the ages of ages. Amen. THE SECOND ODE It should be noted that the Second Ode is never chanted, except only in Great Lent, during which on Tuesday only it is chanted to the end. And for each of the troparia of the Second Ode of the Canon we say, Glory to Thee, our God, glory to Thee. An Ode of Moses in the Deuteronomy. (Deut. 32: 143) After the Law had been written, again an Ode of Moses. Attend, O ye heaven, and I will speak; and let the earth hear the words of my mouth. Let my teaching be looked for as the rain, and let my words come down as the dew, as a shower upon the grass, and as the snow upon the green herb. For I have called upon the name of the Lord. Ascribe ye majesty unto our God. As for our God, His works are true, and all His ways are judgment. God is faithful, and there is no unrighteousness in Him; just and holy is the Lord. Have not children that are blameworthy sinned against Him? O perverse and crooked generation, do ye thus requite the Lord? This is a foolish people, and unwise; did not He Himself thy Father take thee for His own, and make thee, and fashion thee? Remember the days of old, consider the years of generations and generations. Ask thy father, and he will shew thee; thine elders, and they will tell thee. When the Most High divided the nations, when He scattered the sons of Adam, He set the bounds of the nations according to the number of the angels of God. And Jacob His people became the Lord's portion; Israel was the lot of His inheritance. He satisfied him in the wilderness, in burning thirst, and in a waterless land. He led him about, He instructed him, He kept him as the apple of His eye. As an eagle watcheth over his nest, and yearneth over his young, and spreading abroad his wings, receiveth them, and taketh them up upon his back; So the Lord alone did lead them, and there was no strange God with them. He brought them up on the strength of the land; He fed them with the increase of the fields. He suckled them with honey out of the rock, and oil out of the solid rock, Butter of kine, and milk of sheep, with fat of lambs and rams, of calves and kids, with the fat of kidneys of wheat; and they drank wine, the blood of the grape. So Jacob ate, and was filled; and the beloved one kicked, he waxed fat, he grew thick and broad; then he forsook God Which made him, and departed from God his Saviour. They provoked Me to anger with strange gods, and embittered Me with their abominations. They sacrificed unto demons, not to God; to gods whom they knew not; to new gods recently arisen, whom their fathers knew not. Thou hast forsaken God that begat thee, and hast forgotten God that feedeth thee.",False,C,2
Love,TF-IDF,1,22.09,Bible,51,For the End concerning understanding by David When Doeg the Edomite came and reported to Saul and said David went to the house of Abimelech Why do you boast in evil O mighty man And in lawlessness all the day long Your tongue devises wrongdoing You work deceit like a sharpened razor You love evil rather than good Wickedness rather than speaking righteousness You love all the words of destruction You love a deceitful tongue Therefore God shall destroy you completely He shall pluck you up and remove you from your dwelling And uproot you from the land of the living Pause The righteous also shall see and fear And shall laugh at him saying Behold this man did not make God his helper But hoped in the abundance of his riches And he was made powerful in his vanity But I am like a fruitful olive tree in the house of God I hope in Gods mercy Forever and unto ages of ages I will give thanks to You forever for what You did And I will wait on Your name For it is good in the sight of Your holy ones,False,D,3
"Identify psalms that celebrate God's sovereignty over creation while connecting natural imagery—such as mountains, seas, storms, and the heavens—to themes of worship, divine power, and human dependence on God.",TF-IDF + GloVe,1,16.0,Bible,79,1For the End concerning things that shall be changed a testimony for Asaph a psalm  concerning the Assyrian Give heed O You who shepherd Israel Reveal Yourself O You who lead Joseph like a flock Who sit upon the cherubim Raise up Your power Before Ephraim Benjamin and Manasseh And come for our salvation O God convert us And reveal Your face and we shall be saved O Lord God of hosts How long will You be angry with the prayer of Your servant Will You feed us the bread of tears And will You give us as drink tears in measure You made us an offense to our neighbors And our enemies sneered at us O Lord God convert us And reveal Your face and we shall be saved Pause You removed a vineyard from Egypt You cast out the nations and planted it You prepared the way before it And You planted its roots and the earth was filled Its shade covered the mountains And its vines the cedars of God Its branches reached to the sea And its shoots as far as the river Why did You pull down its hedge And all who pass on the road gather its grapes A wild swine from the forest laid it waste A solitary wild beast devoured it O God of hosts convert us now Look down from heaven and behold And visit this vineyard Which Your right hand planted and perfect it And visit the son of man whom You strengthened for Yourself It was set on fire and uprooted But they shall perish at the rebuke of Your face Let Your hand be upon the man of Your right hand And upon the son of man whom You strengthened for Yourself Then we will not turn away from You You will give us life and we will call upon Your name O Lord God of hosts convert us and reveal Your face and we shall be saved,False,A,0
"Identify psalms that celebrate God's sovereignty over creation while connecting natural imagery—such as mountains, seas, storms, and the heavens—to themes of worship, divine power, and human dependence on God.",BERT,1,74.43,Psalter,69,"O God, attend to help me; make haste to help me, O Lord. Let them be ashamed and confounded that seek after my soul; let them be turned backward and put to shame that wish me evils. Let them forthwith be turned back ashamed that say unto me, Aha, aha. Let all those that seek Thee, O God, rejoice and be glad in Thee; and let such as love Thy salvation say continually, Let the Lord be magnified. But I am poor and needy; help me, O God. Thou art my help and my deliverer; O Lord, make no tarrying.",False,B,1
