Query,Rank,Method_A,Method_A_letter,Method_B,Method_B_letter,Winner_Method
"Identify psalms that celebrate God's sovereignty over creation while connecting natural imageryâ€”such as mountains, seas, storms, and the heavensâ€”to themes of worship, divine power, and human dependence on God.",2,TF-IDF,B,SBERT,A,SBERT
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,BERT,X,TF-IDF + GloVe,Y,BERT
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,SBERT,X,TF-IDF + GloVe,Y,SBERT
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,BERT,Y,SBERT,X,SBERT
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,TF-IDF,X,BERT,Y,TF-IDF
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,TF-IDF,B,SBERT,A,SBERT
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,SBERT,Y,BERT,X,BERT
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,TF-IDF,A,BERT,B,TF-IDF
 How does the psalmist describe God's compassion toward those who turn back to Him?,3,TF-IDF,Y,SBERT,X,SBERT
Blessed is the man that feareth the Lord; in His shall he greatly delight,1,BERT,A,TF-IDF + GloVe,B,BERT
Blessed is the man that feareth the Lord; in His shall he greatly delight,1,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
Blessed is the man that feareth the Lord; in His shall he greatly delight,1,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
Blessed is the man that feareth the Lord; in His shall he greatly delight,1,SBERT,X,BERT,Y,SBERT
Blessed is the man that feareth the Lord; in His shall he greatly delight,1,TF-IDF,Y,BERT,X,BERT
Blessed is the man that feareth the Lord; in His shall he greatly delight,1,TF-IDF,X,SBERT,Y,TF-IDF
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",2,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",2,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",2,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",2,SBERT,X,BERT,Y,SBERT
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",2,TF-IDF,A,BERT,B,TF-IDF
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",2,SBERT,A,TF-IDF,B,SBERT
wisdom,2,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
wisdom,2,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
wisdom,2,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF + GloVe
wisdom,2,BERT,B,SBERT,A,SBERT
wisdom,2,BERT,B,TF-IDF,A,BERT
wisdom,2,SBERT,X,TF-IDF,Y,SBERT
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",3,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",3,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",3,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",3,BERT,B,SBERT,A,SBERT
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",3,BERT,Y,TF-IDF,X,TF-IDF
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",3,SBERT,Y,TF-IDF,X,TF-IDF
God with with us,1,TF-IDF + GloVe,B,BERT,A,BERT
God with with us,1,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
God with with us,1,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
God with with us,1,SBERT,Y,BERT,X,BERT
God with with us,1,TF-IDF,B,BERT,A,BERT
God with with us,1,TF-IDF,Y,SBERT,X,SBERT
Compare psalms that emphasize divine wrath versus psalms that emphasize divine mercy and forgivenessâ€,5,TF-IDF + GloVe,X,BERT,Y,TF-IDF + GloVe
Compare psalms that emphasize divine wrath versus psalms that emphasize divine mercy and forgivenessâ€,5,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Compare psalms that emphasize divine wrath versus psalms that emphasize divine mercy and forgivenessâ€,5,TF-IDF + GloVe,A,TF-IDF,B,TF-IDF + GloVe
Compare psalms that emphasize divine wrath versus psalms that emphasize divine mercy and forgivenessâ€,5,SBERT,A,BERT,B,SBERT
Compare psalms that emphasize divine wrath versus psalms that emphasize divine mercy and forgivenessâ€,5,BERT,X,TF-IDF,Y,BERT
Compare psalms that emphasize divine wrath versus psalms that emphasize divine mercy and forgivenessâ€,5,SBERT,Y,TF-IDF,X,TF-IDF
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,BERT,X,TF-IDF + GloVe,Y,BERT
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,TF-IDF + GloVe,Y,SBERT,X,SBERT
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,SBERT,Y,BERT,X,BERT
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,BERT,Y,TF-IDF,X,TF-IDF
Psalms that contrast human mortality with divine eternity and reflect on the fleeting nature of lifeâ€,1,TF-IDF,Y,SBERT,X,SBERT
God with with us,5,TF-IDF + GloVe,Y,BERT,X,BERT
God with with us,5,SBERT,X,TF-IDF + GloVe,Y,SBERT
God with with us,5,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
God with with us,5,BERT,X,SBERT,Y,BERT
God with with us,5,BERT,Y,TF-IDF,X,TF-IDF
God with with us,5,TF-IDF,X,SBERT,Y,TF-IDF
Create in me a clean heart,3,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
Create in me a clean heart,3,SBERT,X,TF-IDF + GloVe,Y,SBERT
Create in me a clean heart,3,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF + GloVe
Create in me a clean heart,3,BERT,Y,SBERT,X,SBERT
Create in me a clean heart,3,BERT,X,TF-IDF,Y,BERT
Create in me a clean heart,3,TF-IDF,A,SBERT,B,TF-IDF
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,TF-IDF,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,SBERT,A,BERT,B,SBERT
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,TF-IDF,A,BERT,B,TF-IDF
"Lord, now lettest thou thy servant depart in peace, according to thy word: for mine eyes have seen thy salvation, which thou hast prepared before the face of all people; a light to lighten the Gentiles, and the glory of thy people Isreal. ",1,SBERT,X,TF-IDF,Y,SBERT
Lord I have cried unto thee,4,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
Lord I have cried unto thee,4,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
Lord I have cried unto thee,4,TF-IDF,B,TF-IDF + GloVe,A,TF-IDF
Lord I have cried unto thee,4,SBERT,Y,BERT,X,BERT
Lord I have cried unto thee,4,BERT,X,TF-IDF,Y,BERT
Lord I have cried unto thee,4,TF-IDF,Y,SBERT,X,SBERT
thanksgiving,5,BERT,X,TF-IDF + GloVe,Y,BERT
thanksgiving,5,TF-IDF,X,TF-IDF + GloVe,Y,TF-IDF
thanksgiving,5,TF-IDF,X,BERT,Y,TF-IDF
"Psalms that express a transition from deep personal lament and feelings of abandonment to renewed trust and praise, especially where the emotional shift is explicit within the same psalm",2,BERT,X,TF-IDF + GloVe,Y,BERT
"Psalms that express a transition from deep personal lament and feelings of abandonment to renewed trust and praise, especially where the emotional shift is explicit within the same psalm",2,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
"Psalms that express a transition from deep personal lament and feelings of abandonment to renewed trust and praise, especially where the emotional shift is explicit within the same psalm",2,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
"Psalms that express a transition from deep personal lament and feelings of abandonment to renewed trust and praise, especially where the emotional shift is explicit within the same psalm",2,SBERT,X,BERT,Y,SBERT
"Psalms that express a transition from deep personal lament and feelings of abandonment to renewed trust and praise, especially where the emotional shift is explicit within the same psalm",2,TF-IDF,A,BERT,B,TF-IDF
"Psalms that express a transition from deep personal lament and feelings of abandonment to renewed trust and praise, especially where the emotional shift is explicit within the same psalm",2,SBERT,A,TF-IDF,B,SBERT
The Lord is my helper; I will not fear what man shall do unto me.,5,TF-IDF + GloVe,Y,BERT,X,BERT
The Lord is my helper; I will not fear what man shall do unto me.,5,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
The Lord is my helper; I will not fear what man shall do unto me.,5,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
The Lord is my helper; I will not fear what man shall do unto me.,5,BERT,B,SBERT,A,BERT
The Lord is my helper; I will not fear what man shall do unto me.,5,TF-IDF,B,BERT,A,TF-IDF
The Lord is my helper; I will not fear what man shall do unto me.,5,TF-IDF,X,SBERT,Y,TF-IDF
fasting,3,BERT,X,TF-IDF + GloVe,Y,BERT
fasting,3,TF-IDF + GloVe,B,SBERT,A,SBERT
fasting,3,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
fasting,3,BERT,X,SBERT,Y,BERT
fasting,3,BERT,X,TF-IDF,Y,BERT
fasting,3,TF-IDF,Y,SBERT,X,SBERT
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",5,TF-IDF + GloVe,Y,BERT,X,BERT
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",5,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",5,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",5,BERT,B,SBERT,A,SBERT
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",5,TF-IDF,B,BERT,A,BERT
"Having raised me from my bed and from sleep, O Lord, enlighten my mind and heart, and open my lips that I may praise Thee, ",5,TF-IDF,B,SBERT,A,SBERT
How does the psalmist express trust in God while surrounded by fear and uncertainty?,2,TF-IDF + GloVe,A,BERT,B,TF-IDF + GloVe
How does the psalmist express trust in God while surrounded by fear and uncertainty?,2,TF-IDF + GloVe,X,SBERT,Y,TF-IDF + GloVe
How does the psalmist express trust in God while surrounded by fear and uncertainty?,2,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
How does the psalmist express trust in God while surrounded by fear and uncertainty?,2,SBERT,A,BERT,B,SBERT
How does the psalmist express trust in God while surrounded by fear and uncertainty?,2,TF-IDF,X,BERT,Y,TF-IDF
How does the psalmist express trust in God while surrounded by fear and uncertainty?,2,TF-IDF,Y,SBERT,X,SBERT
Belief ,3,BERT,X,SBERT,Y,BERT
Forgivness,3,SBERT,B,BERT,A,BERT
"Which psalms focus on repentance and moral failure, where the psalmist confesses sin, acknowledges personal guilt, and pleads for inner spiritual renewal and cleansing",2,BERT,Y,TF-IDF + GloVe,X,TF-IDF + GloVe
"Which psalms focus on repentance and moral failure, where the psalmist confesses sin, acknowledges personal guilt, and pleads for inner spiritual renewal and cleansing",2,TF-IDF + GloVe,Y,SBERT,X,SBERT
"Which psalms focus on repentance and moral failure, where the psalmist confesses sin, acknowledges personal guilt, and pleads for inner spiritual renewal and cleansing",2,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
"Which psalms focus on repentance and moral failure, where the psalmist confesses sin, acknowledges personal guilt, and pleads for inner spiritual renewal and cleansing",2,BERT,B,SBERT,A,SBERT
"Which psalms focus on repentance and moral failure, where the psalmist confesses sin, acknowledges personal guilt, and pleads for inner spiritual renewal and cleansing",2,BERT,Y,TF-IDF,X,TF-IDF
"Which psalms focus on repentance and moral failure, where the psalmist confesses sin, acknowledges personal guilt, and pleads for inner spiritual renewal and cleansing",2,TF-IDF,A,SBERT,B,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",1,TF-IDF + GloVe,B,BERT,A,BERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",1,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",1,TF-IDF + GloVe,Y,TF-IDF,X,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",1,BERT,B,SBERT,A,SBERT
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",1,TF-IDF,A,BERT,B,TF-IDF
"Be thou exalted, O bridegroom, like unto Abrahaml and be thou blessed, like unto isaac; and do thou multiply like unto Joseph, walking in peace, and keeping the comandments of God in righteousness",1,SBERT,B,TF-IDF,A,TF-IDF
"God is the Lord, which has shewed us light. Blessed is he that cometh in the name of the Lord",3,BERT,X,TF-IDF + GloVe,Y,BERT
"God is the Lord, which has shewed us light. Blessed is he that cometh in the name of the Lord",3,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
"God is the Lord, which has shewed us light. Blessed is he that cometh in the name of the Lord",3,TF-IDF + GloVe,X,TF-IDF,Y,TF-IDF + GloVe
"God is the Lord, which has shewed us light. Blessed is he that cometh in the name of the Lord",3,BERT,Y,SBERT,X,SBERT
"God is the Lord, which has shewed us light. Blessed is he that cometh in the name of the Lord",3,TF-IDF,Y,BERT,X,BERT
"God is the Lord, which has shewed us light. Blessed is he that cometh in the name of the Lord",3,TF-IDF,Y,SBERT,X,SBERT
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,BERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,SBERT,B,TF-IDF + GloVe,A,TF-IDF + GloVe
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,TF-IDF,A,TF-IDF + GloVe,B,TF-IDF
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,SBERT,Y,BERT,X,BERT
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,TF-IDF,Y,BERT,X,BERT
" You are wholly and always everywhere, not only by the might of Your incalculable power, but also by the wealth of Your all-encompassing creation. And as for us, as was said by Your Son, all the hairs of our heads are numbered by You, that not one of them may fall without Your will. So trusting in Your providence, with love and confidence we cry:",2,SBERT,X,TF-IDF,Y,SBERT
The Lord is my helper; I will not fear what man shall do unto me.,5,TF-IDF + GloVe,B,BERT,A,TF-IDF + GloVe
The Lord is my helper; I will not fear what man shall do unto me.,5,TF-IDF + GloVe,A,SBERT,B,TF-IDF + GloVe
The Lord is my helper; I will not fear what man shall do unto me.,5,TF-IDF + GloVe,B,TF-IDF,A,TF-IDF
The Lord is my helper; I will not fear what man shall do unto me.,5,BERT,B,SBERT,A,BERT
